,Identifier,Title,Subject,Date,Text,locations,tags
45,39743,"Jane Addams to Madeline Zabriskie Doty, June 1926","Women's International League for Peace and Freedom, activities;Addams, Jane, and Women's International League for Peace and Freedom",1926-06,object letter jane addam respons request repeat alway repli variou nation section written regard object woman intern leagu section liberti use form statement best met requir variat wise endang underli mean provid also gener term author intern congress may cours mistaken consid perfectli legal one nation section print literatur object wilpf adopt vienna congress 1921 anoth nation section print object wilpf adopt washington congress 1924 one great difficulti intern organ lie discus use word differ languag differ stress place upon exactitud word cours rejoic could find form statement express u nevertheless ventur consid fortun author two form section may use one best meet requir take care time state author anticip dublin congress eager devotedli jane addam,"41.8716164,-87.6474573",Peace
55,39614,"Jane Addams to Stanley Ross Linn, January 20, 1929","Addams, Jane, and family;Addams, Jane, health of;Addams, Jane, travels",1929-01-20,jani 20 1929 hullhous 800 south halst street chicago dear stanley realli much better stair stay time believ mari smith mr bowen guest month six week arizona leav friday jani 25 th tucson address el conquistador hotel tucson arizona good send u much fruit enjoy much grate nice letter charm dearest love famili alway devotedli jane addam,"41.8716164,-87.6474573",Family;Health;Travels
56,39589,"Jane Addams to Myra Harriet Reynolds Linn, July 30, 1927","Addams, Jane, and family",1927-07-30,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg dear myra sweater finish last let know short small start jane shall blue put box purchas made church bazaar villag littl toy poor illeg go best love famili alway devotedli jane addam hull cove main juli 30 1927,"44.4122263,-68.2518074",Family
57,39573,"Jane Addams to Emily Greene Balch, May 10, 1926","Women's International League for Peace and Freedom, delegates",1926-05-10,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg dear emili balch save place alic park cal deleg didnt return enclos hastili ja hullhous chicago may 10 1926,"41.8716164,-87.6474573",Peace;Requests
58,39525,"Minny E. Luckey to Helen Margaret Thiede, October 17, 1925","Addams, Jane, requests to;Addams, Jane, travels",1925-10-17,hullhous 800 south halst street chicago octob 17 1925 dear miss thied miss addam wrote mr watson day ago state would stop york possibl without much wear tear ask advis regard train connect new york citi york appreci letter quot mr meng utmost includ york journey sincer luckey sign secretari miss addam miss helen thied 20 twelfth st philadelphia,"41.8716164,-87.6474573",Requests;Travels
63,39232,"Jane Addams to Adena Miller Rich, July 1, 1927","Addams, Jane, gratitude",1927-07-01,april report thank much ja,"41.8716164,-87.6474573",Thanks
65,39175,"Jane Addams to Myra Reynolds Linn Peck, June 30, 1927","Addams, Jane, and family",1927-06-30,hullhous 800 south halst street chicago june 30 1927 dear myra send old gown mine stuff wear forev enough someth also send box cloth may make littl panti nighti leav main next tuesday write jane plan address know simpli hull cove main love famili alway devotedli jane addam,"41.8716164,-87.6474573",Family
73,39066,"Jane Addams to Stanley Ross Linn, June 23, 1927","Addams, Jane, and family",1927-06-23,hullhous 800 south halst street chicago dear stanley thank much nice long letter come give whole situat better love love alway devot aunt jane june 23 1927,"41.8716164,-87.6474573",Family
74,39057,"Jane Addams to William Arthur Maddox, June 22, 1927","Addams, Jane, lectures",1927-06-22,hullhous 800 south halst street chicago june 22 1927 dear mr maddox mr schmidt ask add word introduct known mani year much admir energi abil german woman great nativ gift gotten degre hardest costum accur care think might lectur well faith jane addam sign,"41.8716164,-87.6474573",Lectures
75,39037,"Jane Addams to Dorothy Detzer, June 11, 1927","Women's International League for Peace and Freedom, activities",1927-06-11,dear dd sent letter pamphlet may want name file hastili ja,"41.8781136,-87.6297982",Memberships;Peace
77,39013,"Jane Addams to Myra Reynolds Linn, June 6, 1927","Addams, Jane, and family;Addams, Jane, financial dealings",1927-06-06,june 6 1927 hullhous 800 south halst street chicago dear myra go send sum month milk egg man valley cours primarili littl child save parent one bit worri plea use freeli news jane stanley hope wont homesick mead cottag remot sea bound love famili love aunt jane,"41.8716164,-87.6474573",Family;Finances
86,38905,"Jane Addams to Carrie Chapman Catt, January 14, 1924","Addams, Jane, apologies;peace movement, criticisms of;women's rights movement, activities of",1924-01-14,hullhous 800 south halst street chicago januari 14 1924 dear mr catt much interest cours letter agre say still feel inevit fate reform movement attach often call lunat fring suffrag peac movement experi perhap one earli abolitionist part situat movement must go spite request also woman trade union leagu repres deleg cours declin well hope mistak anyth simplifi situat may make meet easier good wish success confer faith,"41.8716164,-87.6474573",Conferences;Peace;Requests
89,38883,"Jane Addams to Madeleine Zabriskie Doty, June 5, 1926","Women's International League for Peace and Freedom, finances;Women's International League for Peace and Freedom, meetings",1926-06-05,woman intern leagu peac freedom intern offic geneva switzerland 5 june 1926 dear madelin doti sent follow prefer cabl today regret cut deleg expens one thousand send immedi five hundr half staff expens talk emili balch madam ramondt felt strongli thousand dollar could alloc deleg expsn rate money come suppos alreadi invit whose name sent much reliev find think one person section could afford pay two bulgaria two itali especi piattitango one doubt whether repres want best certainli would cut turkey understand ukrainain section far activ certainli object charm nadya surozova think circumst might better invit neither hernor drago nanova suggest olga mizar sever other austria littl miss llane long sinc gone back phillipin think difficult select peopl way done execut committe certain sum given section gobat lucil de jardin cours marcel capi speaker method dispens money never anyth think madam ramondt come dublin person bnest also financi secretari ought page 2 five hundr dollar put expens staff leav geneva preliminari stationari print also send usual five hundr june get monday morn think five hundr ought larg spent dublin irish woman feel realli help local expens also sent weekend cabl letter follow much admir widegren plan summer school strong recommend pay expens six week sent plan emili balch request read send seem much mind plan school peac worker anyth seen hope much miss gleditsch come norway pupil madam curi know quit distinguish person anxiou northwestern europ repres congress sorri stupid write deleg occur expect plan method get staff expens made follow irma tischer 50 madelain doti 100 dumont 50 baer 50 stenographi congress 50 minut congress meet 100 stationari print 500 plea keep special five hundr expens unless preliminari one ireland know sybil jane moor work quaker war relief long time philadelphia alway one u pari woman univers club foxx 4 rue de chevreus help regard room etc suggest day might like help summer school said registr work sort would glad might conceiv induc come dublin would work cours volunt basi mari winsor come dublin may know would like speak page 3 cabl mr swanwick regard bernard shaw ask see u cours would help enorm could see london far fail secur distinguish american speaker may yet land one still sever list expect europ summer local situat ireland intens care irishamerican sentiment alway affection p understand say special fund miss surl unwil fund use bring least third short hope reciev must enough money left run geneva offic summer intern membership usa come,"41.8781136,-87.6297982",Conferences;Finances;Peace
90,38868,"Jane Addams to Julia C. Lathrop, July 26, 1927","Addams, Jane, relationship with Julia Lathrop;business;writing;peace movement, activities of",1927-07-26,hull cove main dear j lathrop quit hopeless mr ford den whole peac effort turn enclos proposit f k hope wasnt mistak alway devotedli jane addam juli 26 1927,"44.4122263,-68.2518074",Peace
95,38581,"Jane Addams to Esther Loeb Kohn, June 1, 1927","Addams, Jane, requests from;Hull-House, visits to",1927-06-01,hullhous 800 south halst street chicago dear mr kohn graham walla london author human natur polit book lunch hullhous friday june 3rd one oclock invit woman interest polit affair meet hope much come mr walla origin thinker one interest men perhap give u light even regard last campaign hope much see friday faith jane addam sign june 1 1927 plea excus duplic letter famili ja note bottom plea illeg illeg illeg illeg,"41.8716164,-87.6474573",Hull-House Visits;Requests
101,38402,"Jane Addams to Rosika Schwimmer, June 3, 1926","Addams, Jane, requests to",1926-06-03,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg hullhous chicago june 3rd 1926 dear mde schwimmer mde ramondt written philadelphia dr jacob slight stroke probabl would abl go dublin sure shall see dr jacob summer unless sail rotterfam case shall hope go hagu pay call miss manu know noth wil year scarc seen sinc 1915 think md palth could probabl matter anyon el person alway let mnatter sort alon know line mani wise peopl advis hope better faith jane addam sign,"41.8716164,-87.6474573",Peace;Requests
103,38391,"Jane Addams to Alexander & Keenan, April 27, 1927","Addams, Jane, legal dealings;Women's International League for Peace and Freedom, office and staffing",1927-04-27,woman intern leagu peac freedom april 27 1927 alexand keenan new york ny messr search record even thoroughli memori afraid record fail show madam ramondthirschmann properli elect record financi secretari miss emili balch secretari treasur begin accept resign owe ill health organ sponsor econom confer held hagu decemb 1922 brought approxim 1000000 use confer hagu support intern offic time way around world meet friend miss smith pari januari proceed mediterranean miss balch rather conserv regard swiss bank bank money woman intern leagu new york therefor wish put money geneva bank ask execut committe appoint madam ramondthirschmann financi secretari money final left respons although actual place government save bank holland partli respons madam palth one member own good deal properti holland dimli recal afterward difficulti find record vote miss vilma glucklich secretari execut board meet come later meet madam ramondthirschmann perform duti treasur also capac later made european arrang congress held washington may 1924 minut board washington show reelect think minut dublin would show reelect last meet hurri rememb debat vicepresid secretari took time consid latter offic perfectli clear record miss balch elect secretari treasur page 2 record treasur see posit would still hold think madam ramondthirschmann without difficulti could secur record sure would will meet mr tibbett pari perhap would better still meet geneva headquart shall cours glad pay expens pari geneva would longer journey pari amsterdam also conveni one far good night train concern enclos copi letter madam ramondthirschmann know cours would defray expens geneva would leagu businessand record perhap recal telegram sent member board member execut board elect offic includ treasur ask vote miss balch treasur understand elect made nevertheless might confirm former elect closer record offic hold successor appoint elect miss balch would still hold offic treasur never faith p mde ramondthirschmann never suppos succeed miss balch execut seci treasur miss glucklich succed miss balch ex seci md ramondthirschmann made financi seci record seci new offic,"41.8716164,-87.6474573",Finances;Peace
105,38363,"Jane Addams to Corinne Marie Tuckerman Allen, April 24, 1927","Addams, Jane, requests to;peace movement, activities of",1927-04-24,hullhous 800 south halst sreet chicago dear mr allen write ladi astor pleasur delay write read articl grate letter also proud juxtaposit daughter cordial greet faith jane addam april 24 1927,"41.8716164,-87.6474573",Peace
114,38116,"Jane Addams to Cornelia Ramondt-Hirschmann, May 9, 1927","Women's International League for Peace and Freedom, office and staffing;Women's International League for Peace and Freedom, finances",1927-05-09,woman intern leagu peac freedom hullhous chicago may 9 1927 dear madam ramondt lawyer new york continu make difficulti send letter wrote today hope satisfactori last letter challeng fact madelin doti seem act treasur geneva said case w l incorpor money made treasur whole hope depend fact abl establish treasur also oper name financi secretari sure will go geneva take record may especi elect reelect establish fact mind mr tebbit hope confus send cabl two affection mde c ramondthirschmann daniel de langster amsterdam holland p amount legaci may approxim 2700000 noth like ever come way would hard miss inabl establish offic treasur,"41.8716164,-87.6474573",Finances;Peace
117,38100,"Jane Addams to Myra Harriet Reynolds Linn, April 14, 1927","Addams, Jane, and family;Addams, Jane, visits",1927-04-14,hullhous 800 south halst street chicago april 14 1927 dear myra slow bread butter letter need tell much enjoy dear visit fulli appreci delight goodi stanley jane brought train kind u one heart feel warm cheer aw busi sinc came home begin see though alway devotedli jane addam dearest love famili,"41.8716164,-87.6474573",Family;Visits
118,38091,"Jane Addams to Anne Henrietta Martin, April 14, 1927","Addams, Jane, memberships in organizations;Addams, Jane, requests from",1927-04-14,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg april 14 1927 dear miss martin send enclos materi ask repli presid club fond lend name organ whose meet attend know littl howev leav hand decid think best still disappoint see california alway devotedli jane addam sign miss ann martin carmelbythesea california,"41.8781136,-87.6297982",Memberships;Requests
119,38055,"Jane Addams to Arthur Piper Kellogg, May 4, 1927","Addams, Jane, requests to;Addams, Jane, lectures",1927-05-04,hullhous 800 south halst street chicago may 4 1927 dear mr kellogg address refer one given mr lapp dinner practic mr lapp part interest realli repeat clip faith jane addam sign p sorri refus often mr arthur kellogg survey associ inc 112 n 19th street new york n,"41.8716164,-87.6474573",Lectures;Requests
120,38053,"Jane Addams to Madeleine Zabriskie Doty, May 4, 1927","Women's International League for Peace and Freedom, office and staffing;Women's International League for Peace and Freedom, finances",1927-05-04,woman intern leagu peac freedom hullhous chicago may 4 1927 dear madelein doti thank much summer school materi report need letter immedi intern legaci new york plea send bill cabl oblig send member execut committe arrang could use made probat sort difficulti whole point establish madam ramondt treasur illeg perform duti treasur uder name financi secretari plea look record show duli elect first decemb 1922 hagu meet execut meet held illeg confer rememb vilma glucklich came late meet said afterward record madam ramondt elect reelect execut committe meet held congress washington record offic gertrud baer drew attent fact dublin reelect gener discus offic forgotten howev would hold successor appoint lawyer new york insist upon establish fact act treasur read w l incorpor money paid treasur mr tebbitt one administr left pari see madam ramondt anxiou meet geneva rather amsterdam record geneva think whole busi would seem import transact intern offic geneva thank prompt send materi hastili alway affection jane addam scan,"41.8716164,-87.6474573",Finances;Peace
121,38052,"Jane Addams to Alexander & Keenan, May 4, 1927","Women's International League for Peace and Freedom, finances;Women's International League for Peace and Freedom, office and staffing",1927-05-04,woman intern leagu peac freedom hullhous chicago may 4 1927 alexand keenan 54 wall street new york ny dear sir sorri made suggest miss balchmight still consid treasur ground person ever born titl withdrew suggest letter sent cleveland accompani affidavit repeat withdraw sincer regret situat howev best belief origin constitut minut execut committe offici document headquart geneva intern offic document confus observ congress report due fact minut execut committe meet report congress report member execut committe presid elect bodi congress offic elect execut committe member statement quot congress report mean madam ramondthirschmann duli elect execut committe minut execut committe meet geneva record wrote fulli possibl lack record concern madam ramondthirschmann hagu meet 1922 dublin meet wish avoid confus mr tebbitt arriv europ know exact statu quit sure howev document adequ miss balch near new york quit convers origin leagu much better commun sole regret complic situat alreadi suffici involv faith,"41.8716164,-87.6474573",Finances;Peace
122,38043,"Jane Addams to Cyrus Hall McCormick Jr., May 3, 1927","Hull-House, finances;Addams, Jane, financial dealings",1927-05-03,hullhous 800 south halst street chicago may 3 1927 dear mr mccormick may thank sincer gener check 10000 receiv sure know much appreci continu kind hullhous faith jane addam sign mr cyru h mccormick 606 michigan ave chicago illinoi,"41.8716164,-87.6474573",Finances;Hull-House
127,37984,"Jane Addams to William Arthur Maddox, April 28, 1927","Hull-House, support for;charitable works;Addams, Jane, relationship with Rockford College",1927-04-28,hullhous 800 south halst street chicago april 28 1927 dear mr maddox carnegi peopl pas understand told distinctli could noth hullhous would charm consid favor colleg recommend sorri send book count toward chair endow pure simpli help librari faith jane addam sign mr wm maddox pre rockford colleg rockford illinoi,"41.8716164,-87.6474573",Hull-House;Philanthropy
129,37976,"Jane Addams to Hannah Clothier Hull, April 13, 1927","Addams, Jane, legal dealings;Addams, Jane, and Women's International League for Peace and Freedom;Women's International League for Peace and Freedom, finances;Women's International League for Peace and Freedom, meetings",1927-04-13,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg april 13 1927 dear mr hull nice letter hope well enough come cleveland sorri delay mr thoma letter regard legaci found letter upon return chicago meantim heard mr white lawyer would lot easier intern wil incorpor law state new york ask madelein doti get vote execut committe author miss balch treasur send copi repli seem mr keenan duli author go ahead miss balch hope abl repres intern board immedi sent materi isnt fine littl money come way affection greet husband daughter devotedli jane addam sign,"41.8716164,-87.6474573",Finances;Peace
134,37828,"Jane Addams to Ida Campbell Mott-Smith Lovett, May 23, 1926","Women's International League for Peace and Freedom, activities;Addams, Jane, requests from;Addams, Jane, travels",1926-05-23,dear mr lovett given enclos mr affeld still come sure come 10000 brought blank receipt tire talk sat even slept three hour pm shall stay next week keep engag seem long time homesick alreadi plea send first hotel cleveland hotel cleveland ohio w l correspond way effect dublin confer could also send w l blue paper repli hope care correspond burden alway grate devotedli jane addam sunday even may 23d 1926,"41.49932,-81.6943605",Peace;Requests;Travels
135,37816,"Jane Addams to Dorothy Detzer, February 19, 1927","Women's International League for Peace and Freedom, activities;Addams, Jane, and Women's International League for Peace and Freedom",1927-02-19,woman intern leagu peac freedom intern offic geneva switzerland 6 rue due vieuxcollg februari 19 1927 dear dorothi detzer send archiv new orlean evid come well mean fussi use presid letter think could put defens quot newspap think would unfair use directli propaganda one thing prepar special occas taken serious hear fine report meet boston congratul devotedli jane addam sign,"41.8781136,-87.6297982",Peace
140,37762,"Jane Addams to Hannah Clothier Hull, October 13, 1925","Women's International League for Peace and Freedom, office and staffing",1925-10-13,hullhous 800 south halst street chicago dear mr hull wrote mr park say sure would tri appoint realli nice hastili jane addam oct 13 1925,"41.8716164,-87.6474573",Peace
143,37681,"Jane Addams to Stanley Ross Linn, March 11, 1927","Addams, Jane, and family;Addams, Jane, travels;Addams, Jane, health of",1927-03-11,buena vista hotel biloxi miss dear stanley thank much send enclos acct certainli gratifi product increas must hope best price piec good news mari smith accept invit mr bowen home pasadena winter spend two week page 2 leav april 4 th guest time leav new orlean next tuesday return chicago see mean shall see soon speak engag new orlean wednesday cant leav thursday noon southern pacif page 3 write soon reach pasadena tell pleasur see myra child soon much better rest start good spirit dearest love alway love aunt jane addam p return acct want talk detail march 11 1927,"30.3960318,-88.8853078",Family;Health;Travels
146,37670,"Jane Addams to Ida Campbell Mott-Smith Lovett, March 6, 1927","Addams, Jane, travels",1927-03-06,march 6 1927 buena vista hotel biloxi miss dearest ladi send foolish littl present farewel hope pa christian gift shop later week yield someth better meantim scuffi thing best wish good journey good sojourn rest time enough illeg left jolli alway devotedli jane addam p doll shoe nanci jane,"30.3960318,-88.8853078",Friends;Travels
147,37667,"Jane Addams to Adena Miller Rich, March 2, 1927","Addams, Jane, travels",1927-03-02,buena vista hotel biloxi miss dear ladi would will show miss britton perhap could see roy shannon dont believ real reason coast delight enjoy much hastili jane addam march 2 1927,"30.3960318,-88.8853078",Travels
149,37661,"Jane Addams to Adena Miller Rich, February 24, 1927","Hull-House, events;Addams, Jane, requests from",1927-02-24,hullhous 800 south halst street chicago februari 24 1927 dear mr rich mr morri ask board meet tomorrow feb 25 1030 illinoi woman athlet club come hastili jane addam sign,"41.8964097,-87.6478518",Hull-House;Requests
153,37612,"Jane Addams to Grace Dercum Watson, October 12, 1925","Addams, Jane, requests from;Addams, Jane, travels",1925-10-12,hullhous 800 south halst street chicago octob 12 1925 dear mr watson hear new york regard armistic day come shall speak new connecticut 9th could perhap stop new york way back could look train new york citi york let know possibl without much wear tear shall glad take appoint faith jane addam sign mr grace watson 20 twelfth st philadelphia p telegram miss fendal say armistic meet still,"41.8716164,-87.6474573",Peace;Requests;Travels
154,37611,"Jane Addams to Catharine Waugh McCulloch, October 11, 1925","Addams, Jane, gratitude",1925-10-11,oct 11 1925 hullhous 800 south halst street chicago dear friend aw good write letter came check cant pretend like situat feel less uncomfort aw nice drop day offic alway devotedli jane addam,"41.8716164,-87.6474573",Thanks
156,37604,"Jane Addams to William Edward Dodd, June 1, 1926","Hull-House, donations;Hull-House, finances;Addams, Jane, requests from",1926-06-01,hullhous 800 south halst street chicago june 1 1926 dear mr dodd may ask help thousand child three hundr mother without cooper spend dreari summer congest district chicago hullhous own seventytwo acr wood land bowen countri club waukegan ill equip playground swim pool well comfort build larg garden suppli fresh fruit veget flower fix charg summer place met endow transport given free northwestern railroad howev depend entir upon contribut money provid food supervis boy barrack accommod sixti boy destroy fire spring account increas cost construct insur destroy build cover cost new barrack thirtyf boy unless rais suffici fund must say everi two week twentyf eager youngster look forward fine enthusiasm vacat countri therefor urgent need assist summer trust care part work check made payabl hullhous associ sent 800 halst street faith jane addam sign,"41.8716164,-87.6474573",Hull-House;Philanthropy;Requests
159,37568,"Jane Addams to Ida Campbell Mot-Smith Lovett, May 27, 1926","Addams, Jane, requests to;Addams, Jane, mental state of",1926-05-27,may 27 1926 hotel cleveland cleveland dear mr lovett suppos mr rockefel check sent mr affeld return pittsburgh look would stay confer wors luck plea send dublin correspond address realli quit homesick glad go away togeth next time alway devotedli jane addam,"41.49932,-81.6943605",Conferences;Peace
164,37523,"Jane Addams to Dorothy Detzer, October 6, 1925","memberships;Women's International League for Peace and Freedom, activities",1925-10-06,woman intern leagu peac freedom hullhous octob 6 1925 dear dorothi detzer anxiou card sent ask renew intern membership 906 seem near 1200 realli seem ought would like compos remind sign send mani need current month realli feel though take intern membership quit serious intern offic seem depend usa quit nice see pennsylvania perhap see mr pethicklawr soon chicago affection jane addam sign plea excus badli written letter,"41.8716164,-87.6474573",Memberships;Peace
166,37486,"Jane Addams to Florence Holbrook, November 22, 1926","peace movement, activities of",1926-11-22,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcollg dear miss holbrook roger baldwin letter enclosur hastili jane addam nov 22 1926,"41.8716164,-87.6474573",Peace
174,37408,"Jane Addams to James Bryan Herrick, June 6, 1925","Addams, Jane, gratitude",1925-06-06,hullhous 800 south halst street chicago dear dr herrick may give copi alic hamilton book one slight express gratitud faith jane addam june 6 1925,"41.8716164,-87.6474573",Books;Thanks
175,37404,"Jane Addams to Florence Gottschalk Taussig, January 12, 1925","Addams, Jane, and peace movement;peace movement, activities of;Women's International League for Peace and Freedom, criticism of",1925-01-12,woman intern leagu peac freedom hullhous chicago illinoi dear mr taussig mr catt tri get togeth conserv organ said begin would invit peac societi long talk think agre ought allow tri leagu woman voter ask one deleg woman trade union leagu declin ground look go opposit washington would better give chanc cri interlock director mr catt long correspond sent complimentari ticket entitl sit platform etc would like show letter time fact want much see gener practic hastili alway devotedli jane addam sign jani 12 1925,"41.8716164,-87.6474573",Conferences;Peace
177,37397,"Jane Addams to Florence Gottschalk Taussig, November 26, 1925","Addams, Jane, travels;Addams, Jane, lectures",1925-11-26,hullhous 800 south halst street chicago novemb 26 1925 dear mr taussig speak lindenwood colleg st charl mo tuesday even decemb 1st arriv state univers columbia afternoon come back way st loui would aw nice could catch glimps somewher nearli make drive back st loui lectur catch midnight train chicago perhap catch glimps rate bear near without let know devotedli jane addam sign p speak world court et al mr florenc g taussig st loui,"41.8716164,-87.6474573",Lectures;Travels
185,37332,"Jane Addams to Anne Rylance Smith, January 25, 1927","Addams, Jane, requests to",1927-01-25,hullhous 800 south halst street chicago januari 25 1927 dear miss smith friend mr frederick taussig 4500 maryland st loui touch repres interest think might use louisvil know one except miss ingram head settlement probabl alreadi know plea use name well mr taussig pittsburgh sure know peopl might suggest wish good wish journey faith jane addam sign miss ann rylanc smith survey associ 112 east 19th st new york ny,"41.8716164,-87.6474573",Requests
189,37266,"Jane Addams to Dorothy Detzer, February 24, 1926","Women's International League for Peace and Freedom, activities",1926-02-24,hullhous 800 south halst street chicago dear dorothi detzer come across agreeabl chang suggest could bring materi new york hastili yr jane addam febi 24 1926,"41.8716164,-87.6474573",Peace
