,Identifier,Title,Subject,Date,Text,locations,tags
1228,19886,"Jane Addams to Mary Taylor Reeves Foulke, December 9, 1919","Addams, Jane, lectures",1919-12-09,hull hous 800 south halst street chicago dec 9 1919 dear mr foulk found sunday dec 14 conflict engag come richmond postpon may write date settl accept kind invit conveni janet full talk xma play send love alway faith jane addam,"41.8716164,-87.6474573",Lectures;Travels
1229,19874,"Jane Addams to Wilbur Lucius Cross, October 21, 1919","Addams, Jane, requests to;Addams, Jane, writings",1919-10-21,hullhous 800 south halst street chicago octob 21st 1919 dear mr cross present time taken speak engag shall glad write someth littl later shall much interest miss barnett miller articl tell experi constantinopl sincer jane addam sign,"41.8716164,-87.6474573",Requests;Writings
1230,19873,"Jane Addams to Harriet Park Thomas, December 7, 1919","Europe, relief efforts in",1919-12-07,woman intern leagu peac freedom intern offic geneva 19 bd georgesfavon dear mr thoma materi letter miss hobhous england might possibl get money definit situat describ hastili jane addam dec 7 1919,"41.8781136,-87.6297982",Relief Efforts
1241,19740,"Jane Addams to Arthur Taylor Aldis, October 17, 1919","Hull-House, donations;Addams, Jane, gratitude",1919-10-17,hullhous 800 south halst street chicago dear mr aldi letter quotat mr hoover seem cross may thank speech gener check assur appreci kind hullhous faith jane addam oct 17 1919,"41.8716164,-87.6474573",Hull-House;Thanks
1247,19698,"Jane Addams to Salmon Oliver Levinson, December 4, 1919","Hull-House, donations;Addams, Jane, requests from",1919-12-04,hullhous 800 south halst street chicago decemb 4th 1919 dear mr levinson ventur remind gener check one hundr dollar contribut hullhous last dec hope may care renew year candor compel state usual larg one would grate check usual denomin cost maintain group twelv build cours increas enorm club fill overflow especi men boy come back oversea camp seem especi eager educ advantag wider contact american life feel present situat concern leagu nation hope opportun talk faith jane addam sign,"41.871626,-87.647437",Hull-House
1248,19697,"Jane Addams to Anita McCormick Blaine, December 4, 1919","Hull-House, donations;Addams, Jane, gratitude",1919-12-04,hullhous 800 south halst street chicago dear mr blain may remind annual donat hullhous gener given mani year come decemb undertak boom year year feel littl justifi yearli clamor alway devotedli jane addam dec 4 1919,"41.871626,-87.647437",Hull-House
1249,19696,"William Fisher Byron to Wilbur Kelsey Thomas, December 3, 1919","Europe, relief efforts in",1919-12-03,hullhous 800 south halst street chicago decemb 3rd 1919 dear mr thoma mr e e smith whose check 62 sent written boy soul sunday school contribut money wish use german rather austrian assur would glad compli request sincer william f byron sign,"41.871626,-87.647437",Relief Efforts
1250,19683,"Jane Addams to Lillian D. Wald, September 30, 1919","Addams, Jane, relationship with Lillian Wald;peace movement, activities of",1919-09-30,hullhous 800 south halst street chicago sept 30 1919 dearest ladi want thank kind good assur appreci gratitud interest day washington ad satisfactori philadelphia experi caus advanc much save though quaker may send new photograph russian friend love alway devotedli jane addam,"41.8716164,-87.6474573",Peace;Travels
1253,19668,"Jane Addams to Hannah Clothier Hull, December 2, 1919","Addams, Jane, requests to",1919-12-02,woman internaion leagu peac freedom intern offic geneva 19 bd georgesfavon dear mr hull get check hurriedli morn aw sorri miss meet affection jane addam dec 2 1919,"41.8716164,-87.6474573",Meetings
1255,19646,"Jane Addams to Harold LeClair Ickes, September 6, 1919","Addams, Jane, requests to",1919-09-06,hullhous 800 south halst street chicago dear mr ick ms came cedarvil best return correct copi affection greet mr ick hope see return east faith jane addam sept 6 1919,"41.8716164,-87.6474573",Requests;Writing
1256,19637,"Jane Addams to Anna Marcet Haldeman-Julius, December 25, 1919","Addams, Jane, and family;Addams, Jane, personal life",1919-12-25,hullhous 800 south halst street chicago dec 25 1919 dear marcet thank much dear letter big check pop littl fund put louis two year u c return oct beauti gaieti make quit success although scholarship wait proven jolli sound kiddi much wish could see bless moment offer novel spell success sure love congratul rather yr ja,"41.8716164,-87.6474573",Family
1258,19630,"William Fisher Byron to Wilbur Kelsey Thomas, December 24, 1919","Addams, Jane, requests from;Addams, Jane, and European relief",1919-12-24,hullhous 800 south halst street chicago decemb 24th 1919 dear mr thoma enclos two check german fund one mr hamil requir acknowledg glad would send receipt miss mari rozet smith 12 west walton place chicago sincer william f byron sign p miss addam would like know whether plan send recent pamphlet germanamerican societi middlewest wish send suppli send hullhous wfb,"41.8716164,-87.6474573",Relief Efforts
1263,19603,"Jane Addams to Catherine Brown, December 19, 1919","Addams, Jane, personal life;Addams, Jane, requests to;moving pictures",1919-12-19,hullhous 800 south halst street chicago decemb 19 1919 dear miss brown think move pictur show open sunday made decent could possibl object day inde sorri havent time write good wish faith jane addam sign,"41.8716164,-87.6474573",Hull-House
1267,19567,"Jane Addams to Paul Underwood Kellogg, November 15, 1919","Addams, Jane, memberships in organizations",1919-11-15,hullhous 800 south halst street chicago dear mr kellogg quit approv chang titl best deserv hastili jane addam nov 15 1919,"41.8716164,-87.6474573",Memberships
1274,19500,"Jane Addams to Wilbur Kelsey Thomas, November 6, 1919",relief efforts,1919-11-06,hull hous 800 south halst street chicago novemb 6th 1919 dear mr thoma enclos sever letter send relief central power think might interest perhap alreadi alreadi met mr indich know done along line much interest attitud toward friend may new help best wish sincer jane addam sign,"41.8716164,-87.6474573",Relief Efforts
1276,19493,"Jane Addams to William Arthur Maddox, October 15, 1919","Addams, Jane, lectures;Addams, Jane, relationship with Rockford College;Addams, Jane, requests to",1919-10-15,hullhous 800 south halst street chicago octob 15th 1919 dear mr maddox much interest plan rockford colleg wrote afraid howev accept kind invit earlier decemb month next fill speak engag includ sever east could kindli give choic sever date decemb januari would give much pleasur make appoint congratul upon renew activ colleg alway faith jane addam sign,"41.8716164,-87.6474573",Lectures;Requests
1278,19448,"Jane Addams to Paul Underwood Kellogg, August 28, 1919","Addams, Jane, and peace movement;peace movement, women and",1919-08-28,hullhous 800 south halst street chicago august 28th 1919 dear mr kellogg made one two correct proof make conserv afraid quit necessari gave interview daili news man rather stupidli mix said feel woman peac confer said germani result outbreak abus letter mind much show easi misunderstand public temper perhap later thing suggest prefer go mere statement found took report quaker seem good deal better survey articl send copi may care quot someth later see possibl object hope come new york first second week septemb perhap page 2 see mr lasker much interest hous control arbeiterrath sever citi passport vise polic station fli red flag mani side light glad talk quit readi write mark one two page report omit survey articl perhap better anyth hope see soon faith jane addam sign,"41.8716164,-87.6474573",Peace;Requests
1279,19446,"Jane Addams to Anna Marcet Haldeman-Julius, August 28, 1919","Addams, Jane, and family;Addams, Jane, travels",1919-08-28,intern committe woman perman peac section unit state america woman peac parti offic 116 south michigan avenu chicago illinoi aug 28 1919 dear marcet two girl leav sunday morn illinoi central 8 reach freeport 11 30 isnt easi meet u take one taxi station come hous love famili alway love aunt jane,"41.8802312,-87.6245874",Family;Travels
1288,19157,"Jane Addams to Charles Phineas Schwartz, December 20, 1917","Addams, Jane, legal dealings;Hull-House, donations",1917-12-20,hullhous 800 south halst street chicago dear mr schwartz kindli look matter hh look amount would larg long list legate hastili jane addam dec 20 1917,"41.8716164,-87.6474573",Finances;Hull-House
1293,19085,"Jane Addams to the Woman's Peace Party. Committee of Thirty-Five, March 22, 1919;Jane Addams to the Carrie Chapman Catt, March 22, 1919","peace movement, activities of;World War I, aftermath;Addams, Jane, travels",1919-03-22,intern committe woman perman peac section unit state america woman peac parti offic 116 south michigan ave chicago illinoi march 22d 1919 member committe thirtyf dear madam earli march receiv cabl dr jacob state would impractic hold intern congress woman holland august septemb english woman alreadi vote switzerland sinc heard cabl woman six countri advoc switzerland place holland congress final call bern switzerland may fifth depart state owe larg food condit europ limit number passport issu american woman attend congress twelv passport issu congress secur present deleg certif sign chairman american section write deleg find mani abl go switzerland congress may ask telegraph hull hous immedi possibl go upon receipt repli tri make list fairli possibl take represent organ geographi consider six deleg alreadi europ variou mission two start obtain passport reason hope also abl attend congress twenti percent steamship space europ unit state reserv civilian soldier war worker shall return told quit possibl may oblig stay sever month europ even late octob owe difficulti secur return passag possibl must taken consider make decis regret imposs carri origin plan feel confid understand difficulti inevit moment faith jane addam sign,"41.8802312,-87.6245874",Peace;Travels
1294,19069,"Emily Greene Balch to Theodora ""Thora"" Daugaard, July 2, 1919","peace movement, international",1919-07-02,geneva juli 2 1919 miss thora daugaard copenhagen dear miss daugaard aw sorri longer activ member danish branch miss addam ask repli letter may 8 hope regard adequ answer imposs attend correspond would put u mail list receiv new woman weekli zurich congress given work new start countri one give effect effort help gener stick journalist work perhap come switzerland day shall pleasur see alway cordial,"46.2016527,6.1405914",Peace
1296,19032,"Jane Addams to Florence Kelley, March 20, 1919","Addams, Jane, travels;peace movement, international",1919-03-20,2513 12 st washington dc dearest sister kelley passport bag dont want fact publish lest chicago tribun start counter attack mr post nice could spirit come tremend sure get start other leav tonight alway devotedli jane addam p hope get april 9 noordam page 2 mr post gotten passag noordam sail havr april 9 th vise swiss french passport read switzerland en rout england franc itali wont use latter dorothi north state room 126 mr post one opposit 128 mr hick save next 128 saturday noon hope take j,"38.9229317,-77.0277613",Peace;Travels
1297,19029,"Eleanor Daggett Karsten to Emily Greene Balch, March 14, 1919","Addams, Jane, requests from;peace movement, international",1919-03-14,woman peac parti section unit state intern committe woman perman peac nation offic room 1506 116 michigan ave chicago march 14th 1919 dear miss balch miss addam ask tell go appli passport next tuesday march eighteenth think ought wait long appli suggest follow soon conveni send notic thirtyf delay somewhat hope hear dr jacob seem better send notic miss addam leav washington sincer eleanor daggett karsten sign execut secretari,"41.8802312,-87.6245874",Peace;Requests;Travels
1300,18989,"Jane Addams to Emily Greene Balch, March 11, 1919","Addams, Jane, travels;peace movement, international",1919-03-11,hullhous 800 south halst street chicago dear miss balch dont think mr villard would go see mr polk passport connect nation hope go send lot stuff anoth envelop send back co mr post march 18 make translat plea send copi alway devotedli jane addam march 11 1919,"41.8716164,-87.6474573",Peace;Requests;Travels
1309,18936,"Eleanor Daggett Karsten to Paul Underwood Kellogg, March 5, 1919","Addams, Jane, travels",1919-03-05,hullhous 800 south halst street chicago march 5th 1919 dear mr kellogg miss addam return chicago next week write acknowledg letter februari 24th enclosur sure interest miss addam greatli sincer eleanor daggett karsten sign secretari jane addam mr p u kellogg co survey 112 e 19th st new york citi,"41.8716164,-87.6474573",Requests
1310,18933,"Jane Addams to Emily Greene Balch, March 3, 1919","Addams, Jane, travels",1919-03-03,dearest ladi come ny tomorrow call isnt cabl disconcert troubl alway devotedli jane addam washington dc march 3 1919,"38.9071923,-77.0368707",Travels
1312,18920,"Jane Addams to Florence Gottschalk Taussig, ca. November 1918","World War I, peace negotiations;peace movement, activities of;peace movement, suppression of",1918-11-01,woman peac parti section unit state intern committe woman perman peac nation offic room 1506 116 michigan ave chicago dear mr taussig delay repli letter although thought much time sinc came believ anyth armistic arrang hope decemb meet ampl time thing move rapidli expert seem anticip shall go washington stay abl send cabl promptli nation organ cours saw meet teacher organ postpon agre speak st loui saturday decemb twentyeighth morn see would nice could go east togeth first appoint new york saturday morn thirtieth novemb would long ahead cours possibl thirtyf meet week new york tri arrang date mr buckley feel roger baldwin sentenc suppos thing go came pretti well cordial greet famili alway affection jane addam sign,"41.8802312,-87.6245874",Peace;World War I
1314,18917,"Jane Addams to Florence Gottschalk Taussig, November 6, 1918","Addams, Jane, travels;peace movement, activities of",1918-11-06,hullhous 800 south halst street chicago dear mr taussig 35 meet ny nov 24 could bd meet nov 23 ny plea write u excus u fuss hastili jane addam nov 6 1918,"41.8716164,-87.6474573",Peace;Requests
1317,18885,"Jane Addams to Elizabeth Sprauge Coolidge, June 18, 1917","Addams, Jane, gratitude;Hull-House, programs;Hull-House, support for",1917-06-18,hullhous 800 south halst street chicago beg acknowledg thank gener contribut fresh air fund administ hullhous hope much may abl summer visit countri club directli north waukegan illinoi sheridan road jane addam sign june 18 1917,"41.8716164,-87.6474573",Finances;Hull-House
1321,18871,"Jane Addams to Mary Rozet Smith, June 26, 1919","Addams, Jane, requests from",1919-06-26,cranston ivanho hotel bloomsburi street london wc1 dear mari doesnt seem quit tact take hold send duplic clara mr karsten everyth seem get lost easili en rout quit homesick sinc almost went home gave alway devotedli yr jane addam june 26 1919,"51.517488,-0.1276846",Requests;Travels
1322,18855,"Jane Addams to Anna Marcet Haldeman-Julius, April 9, 1919","Addams, Jane, and family;Addams, Jane, travels",1919-04-09,hotel belmont new york dear marcet hope word sail ten morn hasti good bye parti good spirit perhap mari smith drop line gone love famili alway devot aunt jane addam april 9 1919,"40.7519491,-73.978317",Family;Travels
1323,18835,"Eleanor Daggett Karsten to Lillian D. Wald, February 28, 1919","Addams, Jane, requests to;Addams, Jane, memberships in organizations",1919-02-28,hullhous 800 south halst street chicago februari 28th 1919 dear miss wald miss addam yet return florida know action take return refer catherin breshkovski fund letter receiv morn mr eli state larg committe given work fund carri small execut committe seven nine committe wish miss addam act think miss addam view statement attitud mme breshkovski set forth letter readi act execut committe cours say anyth definit return sinc began letter receiv note miss addam florida say washington third fourth march illeg could reach wish care mr post sorri give definit inform miss addam case believ grate statement attitud sincer eleanor daggett karsten sign secretari jane addam,"41.8716164,-87.6474573",Memberships;Requests
1326,18808,"Jane Addams to Frank A. Steuert, February 14, 1919","Addams, Jane, gratitude;Hull-House, donations",1919-02-14,hullhous 800 south halst street chicago februari 14th 1919 dear mr steuert may thank check 10000 receiv mr cyru mccormick today ask express mr mccormick sincer appreci continu kind faith jane addam sign,"41.8716164,-87.6474573",Finances;Hull-House
1327,18807,"Jane Addams to Clara Landsberg, June 26, 1919","Addams, Jane, requests from;peace movement, suppression of",1919-06-26,dear clara hold doesnt seem quit tact take along alway yr jane addam june 26 1919,"51.5073509,-0.12775829999998",Requests
1342,18598,"Jane Addams to Hannah Clothier Hull, November 7, 1916","peace movement, activities of;Addams, Jane, gratitude",1916-11-07,dear ladi excel campaign materi thank much hastili jane addam nov 7 1916,"41.8716164,-87.6474573",Thanks
1343,18597,"Jane Addams to Anna Marcet Haldeman-Julius, October 3, 1918","Addams, Jane, visits;health, illness, and disease",1918-10-03,hullhous 800 south halst street chicago dear marcet case influenza unless warn come sunday afternoon oct 6 leav ill central four quit forgot telephon speak jenkin lloyd jone pulpit sunday morn advertis hope stay monday quit heart broken see page 2 alic influenza still rage warn great care case mani sever hope rest household quit well love alway love aunt jane addam oct 3d 1918,"41.8716164,-87.6474573",Family;Health
1344,18592,"Jane Addams to Hannah Clothier Hull, March 27, 1919","peace movement, international;Addams, Jane, requests from",1919-03-27,march 27 1919 hullhous 800 south halst street chicago dear mr hull much disappoint go telegraph could go case enough passport mani peopl pull left much less valuabl know tomorrow quit definit number count help mr hull hastili jane addam p mr post sail noordam holland amlin april 9 via havr franc,"41.8781136,-87.6297982",Peace;Requests;Travels
1345,18589,"Jane Addams to Myra Harriet Reynolds Linn, March 26, 1919","Addams, Jane, and family",1919-03-26,march 26 1919 hullhous 800 south halst street chicago dear myra send two flannel dress perhap wear without much chang hope littl illeg blanket use love famili alway love aunt jane addam p enclos check hospit expens hope take good care,"41.8716164,-87.6474573",Family;Health
1346,18561,"Jane Addams to Paul Underwood Kellogg, September 23, 1918","Addams, Jane, requests from;Addams, Jane, memberships in organizations",1918-09-23,hullhous 800 south halst street chicago dear mr kellogg ten dollar plea dont let come near slip go send ms soon hastili jane addam sept 23 1918,"41.8716164,-87.6474573",Memberships
1347,18558,"Jane Addams to Lillian D. Wald, March 22, 1919","Addams, Jane, requests from;Addams, Jane, relationship with Lillian Wald;peace movement, international",1919-03-22,hullhous 800 south halst street chicago dearest ladi hope j lathrop got even telephon go abroad evid attend congress bern may 5 th plan hasnt gone tri passport congress cant tell much want go mr post passport page 2 publish fact dont want paper make fuss late day plea telegraph ever way go plea go one way alway devotedli jane addam march 22 1919,"41.8716164,-87.6474573",Peace;Requests;Travels
1352,18512,"Jane Addams to Mary Church Terrell, December 20, 1918","Addams, Jane, gratitude;peace movement, activities of",1918-12-20,intern committe woman perman peac section unit state america woman peac parti offic 116 south michigan avenu chicago illinoi decemb 20th 1918 dear mr terrel may tell happi consent one deleg intern congress sure committe congratul hope see washington soon faith jane addam sign,"41.8802312,-87.6245874",Peace;Thanks
1353,18511,"Jane Addams to William Edward Dodd, December 20, 1918","Addams, Jane, requests from;meetings",1918-12-20,hullhous 800 south halst street chicago decemb 20th 1918 dear mr dodd may enclos copi innocu resolut woman club minist meet organ readi pas seem feasibl ask mr hapgood lunch friday would perhap suggest outoftown person faith jane addam sign,"41.8716164,-87.6474573",Meetings;Requests
1356,18503,"Jane Addams to Hannah Clothier Hull, March 22, 1919","Addams, Jane, travels;peace movement, international",1919-03-22,hullhous 800 south halst street chicago march 22nd 1919 dear mr hull mr post got passport last thursday alreadi vise switzerland via franc publish howev dont want paper talk realli start hope abl get put note letter send thirtyf may ask mr hull pari address go switzerland via franc shall hope see pari alway affection jane addam sign,"41.8716164,-87.6474573",Peace;Travels
1357,18501,"Eleanor Daggett Karsten to Emily Greene Balch, January 29, 1919","peace movement, activities of",1919-01-29,hullhous 800 south halst street chicago januari 29th 1919 member nation committe five time place seem conveni member committe miss addam ask call meet committe five friday morn februari fourteenth ten oclock hous mr loui f post 2513 twelfth street washington dc mr post kindli invit member committe lunch day sincer eleanor daggett karsten sign secretari jane addam p enclos copi three cabl recent receiv,"41.8716164,-87.6474573",Peace
1358,18492,"Jane Addams to Otto Leopold Schmidt, December 18, 1918","Addams, Jane, books read;gratitude",1918-12-18,hullhous 800 south halst street chicago decemb 18th 1918 dear dr schmidt may thank kind send copi lord charnwood lincoln even short half hour convert charm great pleasur librari associ author kind bring hullhous faith jane addam sign,"41.8716164,-87.6474573",Books;Thanks
1363,18445,"Jane Addams to William Isaac Hull, August 18, 1918","Addams, Jane, speaking tours",1918-08-18,long peak inn nontip hous dear mr hull may send enclos pamphlet note read speech kansa citi hope may interest affection greet mr hull faith jane addam aug 18 1918,"40.2548753,-105.6160295",Lectures;Travels
1364,18444,"Jane Addams to Graham Taylor, June 6, 1916","Addams, Jane, and peace movement;Addams, Jane, views on politics;Addams, Jane, personal life",1916-06-06,1430 astor street chicago june 6 1916 dear dr taylor woman peac parti quit activ plan outlin miss strong letter never associ larg walter fuller help push ask mr karsten write might impos impress day felt sympathet posit day regard parad one hardest thing posit instanc seem stand asid commun demonstr old friend comrad fail way make clear posit possibl inevit faith jane addam sign dr graham taylor chicago common,"41.9085806,-87.6279494",Peace
1367,18439,"Jane Addams to Charles Phineas Schwartz, October 25, 1916","Addams, Jane, gratitude;Hull-House, support for",1916-10-25,dear mr schwartz clara landsberg said kindli keep eye littl legaci behalf h h may send paper express appreci kind faith jane addam chicago oct 25 1916,"41.8716164,-87.6474573",Finances;Hull-House
1379,18277,"Eleanor Daggett Karsten to Sarah Shoemaker Farley, March 20, 1918","peace movement, activities of",1918-03-20,march 20th 1918 miss sarah farley 224 park avenu swarthmor pa dear miss farley letter miss addam refer offic woman peac parti miss addam absenc citi write suggest talk plan mr william hull swarthmor state chairman pennsylvania woman peac parti mr hull glad sure tell action woman peac parti taken talk possibl plan sincer execut secretari,"41.8802312,-87.6245874",Peace
1381,18262,"Eleanor Daggett Karsten to Emily Greene Balch, March 19, 1918","peace movement, activities of;peace movement, international",1918-03-19,march 19th 1918 miss emili green balch 119 morningsid drive new york citi dear miss balch letter miss addam came leav new orlean call back chicago sudden death brother reach california start today two week speak trip ask tell left hope much would resign day sooner necessari loath lose committe suggest made refer letter plea much heard mr mead mr kelley mr andrew send letter thirtyf deleg week enclos copi letter receiv dr jacob last week miss breckinridg see discourag offic sure order fifti copi internationa hearten greatli definit subscript price internationa statement last number show copi sent one request contribut cover postag expens print grate receiv inform refer point sinc dr jacob wrote miss breckinridg sent 6000 receiv offic help somewhat miss breckinridg taken matter miss addam letter much hope someth may done make possibl keep offic open letter mr leach receiv miss addam leav california gave encourag news refer situat new york written mr william tell much plea miss addam accept posit honorari chairman board shall glad inde abl write miss addam soon adjust made letter recent receiv nation council woman ask renew membership woman peac parti due 2500 instead 1000 formerli refer letter mr spencer close touch work page 2 council woman ask whether felt desir retain membership organ letter receiv today emphat approv retain membership even increas price especi next larg gather two year held unit state special regard interest south american woman may ask seem advis also sincer execut secretari,"41.8802312,-87.6245874",Peace
1384,18227,"Jane Addams to Lillian D. Wald, July 24, 1918","Addams, Jane, travels;Addams, Jane, personal life",1918-07-24,hullhous 800 south halst street chicago dearest ladi mari colorado mean write invalid realli extrem well caus constant rejoic plea give love miss lewisohn far indiffer suffer although done littl write wish could talk russia alway devotedli jane addam juli 24 1918,"41.8716164,-87.6474573",Friends;Travels
1385,18222,"Eleanor Daggett Karsten to Anne Henrietta Martin, March 15, 1918","Addams, Jane, requests to;Addams, Jane, lectures",1918-03-15,hullhous 800 south halst street chicago march 15th 1918 dear miss martin telegram miss addam forward write meantim tell miss addam return chicago earli april promis speak birmingham alabama food administr middl month think therefor possibl accept invit chief speaker open meet campaign reno probabl hear refer write miss addam go place place speak california may delay reach explain delay sincer eleanor daggett karsten sign secretari jane addam,"41.8716164,-87.6474573",Lectures;Travels
1386,18221,"Eleanor Daggett Karsten to Salmon Oliver Levinson, March 15, 1918","Addams, Jane, requests to",1918-03-15,hullhous 800 south halst street chicago march 15th 1918 dear mr levinson copi new republ say send miss addam receiv howev miss addam regular copi receiv sent california month march forward letter attent may call especi articl although sure alreadi note sincer eleanor daggett karsten sign secretari jane addam,"41.8716164,-87.6474573",Requests
1387,18219,"Eleanor Daggett Karsten to Ruth Churchyard Williams, March 14, 1918","peace movement, organization of;peace movement, activities of",1918-03-14,march 14th 1918 mr frank william 54 irv place buffalo new york dear mr william miss addam left california letter march 4th receiv hesit much send greatli troubl whole matter much comfort left letter mr leach hope understand reach miss eastman would accept posit honorari chairman new board write refer would give much pleasur write miss addam consent take posit satisfactori arrang reach simpli desir miss eastman effect satisfactori solut problem miss addam california rest month plan go east possibl june much better last week difficult one seem recov rapidli hope littl hospit experi sincer hope howev california need set quit sure note say difficulti fulli settl new york situat would go far sincer execut secretari,"41.8802312,-87.6245874",Peace
1388,18218,"Eleanor Daggett Karsten to Margaret Johnson Lane, March 14, 1918","peace movement, activities of;peace movement, organization of",1918-03-14,march 14th 1918 miss margaret lane 70 fifth avenu new york citi ny dear miss lane letter miss addam receiv departur california month march earli part april loath troubl new york situat sinc left encourag letter mr leach felt meet syracus mean perfectli satisfactori understand mr william miss eastman great comfort miss addam taken matter member board felt although board taken definit stand philadelphia meet done yet situat hardli justifi call board meet kind wrote mr william urg accept honorari chairmanship offer much hope shall hear soon refer matter would easili possibl honorari chairman case accept sincer execut secretari,"41.8802312,-87.6245874",Peace
1389,18213,"Jane Addams to Emily Greene Balch, December 17, 1918","peace movement, activities of;Addams, Jane, requests from",1918-12-17,hullhous 800 south halst street chicago decemb 17th 1918 dear miss balch well understand impati new york branch think least realiz difficulti involv intern meet time enclos copi repli miss vincent copi letter mr spencer hope someth may done way convent tri express letter mr post feel move prematur matter sorri seem slow stubborn intern congress one decid best one think see mr post send letter australia england woman mean impati new york group could get passport go advanc would fine sure know glad would commun splendid scandinavian group realli think preliminari carri larg neutral repli cabl would think cabl held fact enclos cabl finnish woman came saturday told cabl eight day come hamilton one five think good young radic mr kelley place yr j initi,"41.8716164,-87.6474573",Conferences;Peace;Requests
1392,18179,"Eleanor Daggett Karsten to Mina Caroline Ginger Van Winkle, March 12, 1918","Addams, Jane, speaking tours;Addams, Jane, and family",1918-03-12,hullhous 800 south halst street chicago march 12th 1918 dear mr van winkl may make one report sinc trip refer wish report plan cooper miss addam oblig return new orlean without deliv address receiv word death brother immedi arriv made arrang go new orlean el paso return california april instead speak time arrang seem satisfactori meet charg miss addam wish send statement refer chang tell would take later question refund amount ticket charg food administr probabl simplest pay ticket new orlean chicago exact equival amount charg depart name ticket chicago new orlean arrang satisfactori sincer eleanor daggett karsten sign secretari jane addam,"41.8716164,-87.6474573",Family;Lectures;Travels
