,Identifier,Title,Subject,Date,Text,locations,tags
3195,3079,"Jane Addams to Julia Clifford Lathrop, January 10, 1909","Addams, Jane, personal life",1909-01-10,136 astor street dear friend telephon hullhous sad telegram come fear week alic often spoken sympathi affect yet come news seem imposs sorrow feel must rush find hard tie page 2 moment like go rockford find hard stay away wont let know anyth hous day longer easi thing telephon miss ford oblig wish might say someth would comfort page 3 must solac child devot cant imagin anyth would afford surer basi final comfort sorri cant come rockford other certainli may send love sister other alway unchang affect jane addam jani 10 1909,"41.9077978,-87.6275555",Friends
3196,3075,"Jane Addams to Sarah Alice Addams Haldeman, January 10, 1909","Addams, Jane, and family",1909-01-10,136 astor street dear alic esther simpli first symptom nervou prostrat lack sleep faint etc seem necessari get away child countri natur took child hullhous mari chicken pox resid came back room mr bowen insist page 2 much better place kindli took u fell stair monday afternoon jani 4 shut hous sinc bruis batter condit although committe meet move hous cautious eri weber stay littl girl probabl mother come back page 3 louis goe school mari also soon chicken pox leav good happi far time sorri didnt like kimono bought china town san francisco select mr robert herrick perhap disillus xma last year didnt like book sent messag remembr reach isnt plea give kimono someon page 4 forget next year ill tri someth quit differ ethel winthrop gone back lima ethel ear heal enough nerv oper renew peachi patient go write often xma rush someth fear alway dear alic love sister jane addam jani 10 1909,"41.9077978,-87.6275555",Family
3199,3068,"Jane Addams to Julia Clifford Lathrop, January 3, 1909","Addams, Jane, gratitude",1909-01-03,hullhous 335 south halst street chicago dear ladi dozen box wonder marzipan appear last forev miss hannig thriftili produc new cake day dinner new guest introduc old resid sing prais page 2 donor aw good send never prepar success kindlier deed hope mother better good wish new year household alway j jani 3 1909,"41.8716782,-87.6474517",Friends
3243,2902,"Jane Addams to Miss Laurence, September 15, 1909","Addams, Jane, books read",1909-09-15,sep 15 baymeath bar harbor main dear miss laurenc kind send u copi industri effici anticip read much pleasur seem poor return send page 2 hull hous year book new one tell latest day wish might time pleasur welcom hull hous sincer jane addam sign,"44.3876119,-68.2039123",Thanks
3261,2854,"Jane Addams to Ida Minerva Tarbell, August 23, 1909","Addams, Jane, requests to;Addams, Jane, writing;Addams, Jane, writings, Twenty Years at Hull House",1909-08-23,hullhous 335 south halst street chicago dear miss tarbel invit come see bethel entic declin real disappoint quit convinc better help critic later written first seven page 2 chapter open cours enorm amount chang elabor think would better go end seven perhap ask read talk bar harbor septemb go bethel main friend miss smith octob page 3 could easili come new york wherev may time octob see sure ought book pretti well en bloc real uniti quit differ thing done may write later child grow thank page 5 kind godmoth affection jane addam aug 23 1909,"41.8716782,-87.6474517",Requests;Writing
3269,2832,"Jane Addams to Sarah Alice Addams Haldeman, July 17, 1909","Addams, Jane, and family;Addams, Jane, financial dealings;Addams, Jane, relationship with Mary Rozet Smith",1909-07-17,dear alic girard friend havent come yet come hullhous nearli find wont send chicago address may ask special time twice week summer could easili manag meet wrote mr illeg would page 2 keep rule send name enterpris activ connect letter sound like interest woman mari continu improv although slowli time write enjoy much sent book macmillan spirit youth citi street page 3 late fall marcet plan rest summer never heard final decis love alway love sister jane addam juli 17 1909,"42.1816918,-87.8003437",Family;Health;Travels
3276,2817,"Jane Addams to Sarah Alice Addams Haldeman, June 26, 1909","Addams, Jane, and family;Addams, Jane, travels",1909-06-26,hullhous 335 south halst street chicago dear alic got back morn begin hot day nice find letter send word midst fresh air plan thing go back highland park tomorrow mari littl cottag improv stay two month plea give love marcet dear alway love sister jane addam june 26 1909,"41.8716782,-87.6474517",Family;Health;Travels
3278,2811,"Jane Addams to Irene Osgood, June 23, 1909","Addams, Jane, requests to;Addams, Jane, writing",1909-06-23,king edward hotel toronto canada june 23rd dear miss osgood afraid know absolut noth interst competit also occupi articl promis write feel add anoth one send back mr kelley note page 2 hope may fortun secur one el sincer jane addam,"43.6491397,-79.3762015",Requests;Writing
3328,2596,"Jane Addams to Nicholas Kelley, June 23, 1907","Addams, Jane, requests to",1907-06-23,hullhous 335 south halst street chicago dear ko much memori research cant recal anyon present pari could give letter save young siegfri may havr father minist commerc 1900 famili natur capit name jule siegfri young friend third son andr jame leroy beaulieu met know well enough send letter page 2 head universit populair use fine young frenchman interest oxford forgotten name doubtless left long sinc send letter mr h g well hope introduc fabian good luck alway affection jane addam june 23 1907 p hope card dont sound cold experi point best illeg mr alden webb cours know mother well,"41.8716782,-87.6474517",Requests
3330,2581,"Jane Addams to Lillian D. Wald, June 16, 1907","Addams, Jane, travels;Addams, Jane, relationship with Lillian Wald",1907-06-16,overbrook penn june 161907 dear ladi new york tomorrow even come penn road 23 st 1103 leav new road 12 30 42 st time say hello fine dont see write realli want bon chanc alway jane addam june 161907,"39.9845206,-75.2420722",Travels
3331,2580,"Jane Addams to Sarah Alice Addams Haldeman, June 16, 1907","Addams, Jane, lectures;education",1907-06-16,en rout penn dear alic laura appear last week conclud invalid wasnt well enough leav richmond unless may persuad laura go jamestown old point comfort engag bryn mawr tomorrow night go mt holyok commenc address wednesday spend night overbrook eager see speak hannib mo aug 9 near girard page 2 engag chautauqua ny aug 3 illeg word chautaqua harlan iowa aug 11 3 9 th could accomplish girard happi unless total unforeseen school bd affair come suffici unexpect late lead one make plan without count alway love sister j june 16 1907 p send two silver articl choos wed present mr hazenplug gone japan seem rather short metalwork,"41.2033216,-77.1945247",Travels
3332,2579,"Laura Shoemaker Addams to Jane Addams, June 11, 1907","Addams, Jane, and family",1907-06-11,jefferson richmond virginia richmond june 11 1907 dear jane expect chicago yesterday monday sunday develop someth like old tonsil troubl old richmond laid repair speak much better doctor said today page 2 younger woman could go today want take risk wait better abl travel hope reach chicago last weekat fartherest fine old citi comfort big hotel weather usual beastli page 3 seem conserv doctor see reason everi thing alright hastili everi much love laura addam,"37.5407246,-77.4360481",Family;Health
3333,2578,"Jane Addams to Sarah Alice Addams Haldeman, June 13, 1907","Addams, Jane, and family",1907-06-13,dear alic letter laura came morn send least scrap inform sorri didnt like poor littl bag made old ladi neighborhood sell one travel bag grown attach cours would use bureau drawer howev tri send book make quit stir among clergi review group two week ago interest discus send school board clip perhap send back archiv alway love sister jane addam 15 00 arriv morn,"41.8781136,-87.6297982",Family
3334,2577,"Valeria Addams Knapp to Jane Addams, June 12, 1907","Addams, Jane, requests to;Hull-House, visits to",1907-06-12,pine menomoni wisconsin june 121907 miss jane addam hull hous dear cousin one young ladi graduat univers madison wish write desir someth settlement work may come hull hous page 2 awhil get idea acquaint work find place may fit meet wth approv would kindli let know perhap give idea work young graduat may person letter know busi life one helper know grate alway known studiou conscienti sensibl girl page 3 believ make use woman address miss margaret mclean co mr w c mclean menomoni wisconsin interest know recent visit overbrook that love visit cousin jane hull cheer hope patient life benedict well sincer valeria knapp,"44.8755183,-91.9193422",Hull-House Visits;Requests
3335,2573,"Jane Addams to Sarah Alice Addams Haldeman, June 5, 1907","Addams, Jane, and family",1907-06-05,hullhous 335 south halst street chicago dear alic send sheaf bag best wish birthday meant fill proper articl absorb upset school affair laura write arriv safe stop littl inn pike lectur bryn mawr even june 17 page 2 spend night dean thoma afterward hope howev time well settl sea shore wish much might come chicago meet marcet would meet mendota could come mani happi return birthday alway love sister jane addam,"41.8716782,-87.6474517",Family;Visits
3340,2533,"Jane Addams to Henry Churchill King, May 5, 1907","Hull-House, visits to;Addams, Jane, requests from",1907-05-05,hullhous 335 south halst street chicago may 5 1907 dear mr king see chicago eighteenth may hope much made engag may secur visit mr king hullhous distanc englewood connect good promis deliv promptli meet alway want see someth hullhous trust opportun cordial greet mr king pleasant memori visit oberlin remain faith jane addam sign mr henri churchil king presid oberlin colleg oberlin ohio,"41.8716782,-87.6474517",Hull-House Visits;Requests
3343,2526,"Jane Addams to Cyrus Hall McCormick, Jr., April 24, 1907","Hull-House, donations",1907-04-24,hullhous 335 south halst street chicago april 24 1907 dear mr mccormick mani year sent u one hundr dollar year gener expens account hullhous last year check came april ventur remind former kind hope care renew subscript year would give great deal pleasur show hullhous especi boy club build recent erect faith jane addam sign mr cyru h mccormick chicago,"41.8716782,-87.6474517",Finances;Hull-House
3344,2525,"Jane Addams to Sarah Alice Addams Haldeman, April 24, 1907","Addams, Jane, visits;Addams, Jane, and family",1907-04-24,hullhous 335 south halst street chicago dear alic infer dr cook letter come mendota soon plea let know may meet mean time wont write line present state anxiou hear alway forev love sister jane addam april 24 1907,"41.8716782,-87.6474517",Family;Visits
3350,2495,"Jane Addams to Mary Howland Linn, February 18, 1908","Addams, Jane, and family;Addams, Jane, lectures",1908-02-18,febi 18 th 1908 hullhous 335 south halst street chicago dear mari fine long letter accept invit pleasur speak mt holyok thursday march 19 th night couldnt reach cambridg next morn due radcliff four friday march 20 th wellesley night next day engag boston page 2 certainli see long often saturday sunday realli homesick littlest girl feel must stupid write sarah wed fine day big counti hous open field posi sleigh full peopl thirti five drive gay bell made quit picturesqu jolli page 3 new orlean may chicago juli 1 st final locat uncertain much tell h h shall hold forth great length come month two day today love alway love aunt j kiss jane six circular mark,"41.8716782,-87.6474517",Family;Travels
3354,2481,"Frederick H. Deknatel to Henry Churchill King, January 11, 1908","Addams, Jane, requests to",1908-01-11,hullhous 335 south halst street chicago jani 11 08 dear sir check miss addam lectur engag find time februari fulli taken much quit imposs go washington 13th outoftown engag within week date famili matter take citi 11th compel ask withdraw accept understand provision sincer regret inabl take part confer truli frederick deknatel prest hc king oberlin colleg,"41.8716782,-87.6474517",Lectures;Requests
3355,2474,"Jane Addams to Sarah Alice Addams Haldeman, April 4, 1907","Addams, Jane, requests from",1907-04-04,hullhous 335 south halst street chicago dear alic dont dr cook come see travel expens would result examin diagnosi satisfactori taken journey would advic could much easili work regimen food etc actual seen home hand would much rather come mendota meet page 2 sure could comfort hotel day perhap would come chicago afterward case dr cook advis see one el nice visit cedarvil last sunday rather tire late littl trip countri reassur write later hope decid send dr cook alway love sister jane addam april 4 1907,"41.8716782,-87.6474517",Requests
3357,2469,"Jane Addams to Anita McCormick Blaine, March 30, 1907","Addams, Jane, gratitude;Hull-House, donations",1907-03-30,hullhous 335 south halst street chicago dear mr blain good send u gorgeou illeg tree mark easter mani day come mani peopl enjoy grate alway affection jane addam march 30 1907,"41.8716782,-87.6474517",Hull-House
3360,2452,"Jane Addams to James Ramsay MacDonald, March 1907","Hull-House, visits to",1907-03-01,hullhous 335 south halst street chicago dear mr macdonald possibl met mr mccormick hullhous long ago rate sure enjoy meet find public spirit akin cordial greet wife faith jane addam march 1907,"41.8716782,-87.6474517",Hull-House
3363,2437,"Jane Addams to Sarah Alice Addams Haldeman, February 14, 1907","Addams, Jane, and family",1907-02-14,hullhous 335 south halst street chicago dear alic enclos esther address chicago settl littl flat overlook dougla park west side child fairli well well last day charli place sear roebuck co start near bottom good prospect enclos address well sarah latter seem like new vocat well inde evid well mr mussey rather peculiar woman perfectli good one hh great deal greek play manag mother come today suffrag assn abl woman father prest prison assn known charit circl page 2 entir famili mr mussey delic nervou beyond think perfectli harmless never know mean make remark attitud marcet use tri write littl jane better flourish winthrop right although mother still leg dress everi day laura aw good get esther settl work day day entir flat show work wish might see pretti new plea excus pencil believ alway love sister ja febi 14 1907,"41.8716782,-87.6474517",Family;Health
3364,2433,"Jane Addams to Julia Clifford Lathrop, February 12, 1907","Addams, Jane, personal life;Addams, Jane, relationship with Rockford College;Addams, Jane, writings, Newer Ideals of Peace",1907-02-12,hullhous 335 south halst street chicago dear dear j lathrop possess use say cedarvil write month tell know one thing hasnt lack thought mind often home sick long seem must write send copi book regard mix emot one page 2 gratitud last regret didnt fuss longer rate pleasur send certainti friendli understand look half household go abroad spring hamilton see mr le moyn start italian villa two week von borosini etc sure see confess moment page 3 homesick itali due reaction school board old thing go littl smoothli oh unsatisfactori much oblig suffrag clip made situat much clearer nation assn meet chicago next week sister kelley said logic candid prest strongest field new boy club charmer mani thing page 4 mr bowen keep indefatig talk long often must know much admir care go rockford next month speak men club brother interest perhap becom reconcil colleg made feel illeg duti expect dear ladi forgiv write believ alway forev devotedli j addam p plea read throw away book dont lug around,"41.8716782,-87.6474517",Friends
3365,2424,"Jane Addams to Sarah Alice Addams Haldeman, February 10, 1907","Addams, Jane, and family",1907-02-10,hullhous 335 south halst street chicago dear alic heard long time hope goe well written word new book poor thing mine esther settl west side child great comfort u love alway love sister jane addam febi 10 1907,"41.8716782,-87.6474517",Family
3366,2415,"Jane Addams to Sarah Alice Addams Haldeman, May 13, 1909","Addams, Jane, travels;Addams, Jane, and family",1909-05-13,morain hotel highland park ill may 131909 dear alic hadnt count upon miss landsberg europ see miss wald letter seem person say first mde connect sargeant school realli ought enough page 2 way recommend think sorri seen marcet yesterday mari smith better didnt feel could leav first week quit enjoy rest alway love sister j p written esther send pictur eri,"42.1816918,-87.8003437",Family;Travels
3368,2413,"Jane Addams to Catharine Waugh McCulloch, May 10, 1909","Addams, Jane, relationship with Mary Rozet Smith;Addams, Jane, requests from",1909-05-10,morain highland park illinoi dear ladi friend mari smith threaten nervou breakdown order town take care drop sort thing week perhap month mr hill said could go springfield week anna nichol take hold matter find one aw sorri seem shirk page 2 sure would valu lobbyist troubl child labor bill go cours hastili jane addam may 10 1909,"42.1816918,-87.8003437",Requests;Travels
3373,2403,"Jane Addams to Sarah Alice Addams Haldeman, December 19, 1908","Addams, Jane, personal life;Addams, Jane, and family;holidays and celebrations",1908-12-19,hullhous 335 south halst street chicago dear alic send short japanes kimono nice wear bed room goe best wish merri christma weber wrote play christma revel u c saw last even page 2 spent night littl famili much enjoy see elizabeth bath morn darl babi without doubt ethel john winthrop xma mean littl gather clan although much reduc alway love sister jane addam dec 19 1908,"41.8716782,-87.6474517",Family;Holidays
3376,2386,"Jane Addams to Sarah Alice Addams Haldeman, April 16, 1909","Addams, Jane, personal life;Addams, Jane, and family",1909-04-16,hullhous 335 south halst street chicago dear alic open letter return check laura come end month marcet come back wont see come chicago hastili love sister jane addam april 16 1909,"41.8716782,-87.6474517",Family
3379,2382,"Jane Addams to Agnes Nestor, April 9, 1909","lectures;Addams, Jane, requests from",1909-04-09,hullhous 335 south halst street chicago april 9 1909 dear miss nestor respons kind accept take part hear springfield committe put name enclos list speaker ventur give subject import twentyf speaker overlap case would like subject modifi matter could consid special train may ask take pain limit speech allot three minut thank particip sincer jane addam sign miss agn nestor chicago,"41.8716782,-87.6474517",Requests
3382,2363,"Jane Addams to Jenkin Lloyd Jones, April 6, 1909","Addams, Jane, requests to;Addams, Jane, requests from",1909-04-06,hullhous 335 south halst street chicago april 6 1909 dear mr jone enclos two letter one prof starr regard negro confer hope may see soon return written mr wall imposs go new york felt rather guilti ever sinc hope good vacat sincer jane addam sign mr jenkin lloyd jone chicago,"41.8716782,-87.6474517",Requests
3384,2359,"Jane Addams to David Bressler, March 31, 1909","Addams, Jane, requests to;lectures",1909-03-31,hullhous 335 south halst street chicago march 31 1909 dear mr bressler taken subtitl labor exchang confer thursday morn june tenth leav mere immigr find work shall put gener topic reliev congest citi thirti fortyf minut regret say allow formal paper anxiou allow time discus afterward thank consent sincer jane addam sign mr david bressler new york,"41.8716782,-87.6474517",Lectures;Requests
3389,2346,"Jane Addams to Irene Osgood, December 9, 1908","Addams, Jane, requests to;Addams, Jane, writing",1908-12-09,hullhous 335 south halst street chicago dec 9 1908 dear miss osgood afraid let write anyth perhap later spring prof swing use say abl attempt someth good wish sincer jane addam sign,"41.8716782,-87.6474517",Requests;Writing
3390,2343,"Jane Addams to Irene Osgood, December 3, 1908","Addams, Jane, requests to;Addams, Jane, writing;Addams, Jane, memberships in organizations",1908-12-03,hullhous 335 south halst street chicago dec 3 1908 dear miss osgood slow bungl writer afraid quit imposs get anyth readi month go new york tomorrow meet public committe chariti common cours unusu busi decemb good meet new leagu last night faith jane addam sign miss iren osgood madison wisconsin,"41.8716782,-87.6474517",Requests;Writing
3393,2337,"Lucia Osbourne Ford to Irene Osgood, March 10, 1909","Addams, Jane, requests to;Addams, Jane, requests from",1909-03-10,hullhous 335 south halst street chicago march 10 1909 dear miss osgood enclos manuscript miss addam say mr kellogg intend also wish say shall glad see soon chicago sincer lucia ford sign sec,"41.8718196,-87.646922",Requests
3394,2335,"Jane Addams to John Rogers Commons, March 10, 1909",meetings,1909-03-10,hullhous 335 south halst street chicago march 10 1909 dear mr common expect chicago throughout second week april engag week move cours glad know regard date settl may keep enclos littl notic meet saturday may interest sincer jane addam sign mr john r common madison,"41.8716782,-87.6474517",Meetings;Requests
3397,2331,"Jane Addams to Irene Osgood, March 9, 1909","Addams, Jane, requests from",1909-03-09,hullhous 335 south halst street chicago march 9 1909 dear miss osgood evid paul kellogg made mistak put letter manuscript doubtless letter manuscript retain manuscript send letter kindli letter mail grate sincer miss iren osgood madison,"41.8716782,-87.6474517",Requests
3401,2315,"Jane Addams to Sarah Alice Addams Haldeman, February 26, 1909","Addams, Jane, and family;Addams, Jane, personal life",1909-02-26,136 astor street dear alic esther come cedarvil stay day visit child much better still far well go back monday month longer perhap child well happi page 2 hope next month wonder mother spend night north side feel much better hope everi thing soon love esther alway love sister ja febi 26 1909,"41.9077978,-87.6275555",Family;Visits
3406,2294,"Jane Addams to Mr. Galbraith, February 22, 1909","Addams, Jane, requests from",1909-02-22,hullhous 335 south halst street chicago dear mr galbraith bearer hyman shapiro clerk mail divis import part shakespear twelfth night one club give first date page 2 februari kindli permit young man postpon night servic month unfortun play ben postpon march cast readi earlier know ask great deal page 3 hyman shapiro permit wait yet anoth month night duti yet grate could arrang hope trespass upon courtesi sincer jane addam febi 22 1909,"41.8716782,-87.6474517",Requests
3416,2226,"Jane Addams to Lucy Fitch Perkins, November 12, 1908","Addams, Jane, requests to;women's clubs",1908-11-12,hullhous 335 south halst street chicago nov 12 1908 dear mr perkin like much inde address littl club believ better tri anyth christma perhap call write see fix upon time confess promis see babi draw rather opportun address ladi shall charm combin thank much cordial letter sincer jane addam sign,"41.8716782,-87.6474517",Requests
3417,2224,"Jane Addams to Worth M. Tippy, November 11, 1908","Addams, Jane, requests to",1908-11-11,hullhous 335 south halst street chicago nov 11 1908 dear mr tippi sorri accept cordial invit come st loui novemb mani engag present possibl fill much regret abl servic seem signific assembl perhap let know anoth gather feder shall fortun abl come sincer jane addam sign mr worth tippi cleveland,"41.8716782,-87.6474517",Requests
3418,2212,"Jane Addams to Sarah Alice Addams Haldeman, July 24, 1908","Addams, Jane, and family",1908-07-24,dear alic know glad line marcet send letter school interest get much rest get good deal stimulu hastili ja madison wi juli 241908,"43.0730517,-89.4012302",Family
3421,2208,"Jane Addams to Sarah Alice Addams Haldeman, June 27, 1908","Addams, Jane, and family;Addams, Jane, visits;Addams, Jane, requests from;Addams, Jane, travels",1908-06-25,dear alic hope stop girard way colorado find transport sent northwestern road shall tri manag way home cant come boulder see would cooler give littl vacat lectur aug 3 aug 8 th rather tire mani commenc glad end next week yet heard marcet alway love sister j june 27 1908,"41.8781136,-87.6297982",Family;Lectures;Travels
3426,2195,"Jane Addams to Anita McCormick Blaine, November 7, 1908","Addams, Jane, requests from;meetings;Hull-House, events",1908-11-07,hullhous 335 south halst street chicago dear mr blain hope much come monday even mr lovejoy think hope see mr van der vaart got postal card hastili sever mistak perhap serv alway j addam nov 6 7 1908,"41.8716782,-87.6474517",Requests
3433,2174,"Jane Addams to Sarah Alice Addams Haldeman, October 19, 1908","Addams, Jane, personal life;Addams, Jane, health of;Addams, Jane, and family",1908-10-19,hullhous 335 south halst streeet chicago dear alic sorri engag lunch next thursday seem imposs disturb involv committe peopl left name day could certainli downtown 3 30 3 45 let meet plow washington st opposit field nearli 3 30 3 45 make page 2 may time afternoon tea afternoon tea go marcet train plow small place sit near front door washington st back north side convalesc ill happi say love famili hope see week alway love sister jane addam oct 19 1908,"41.8716782,-87.6474517",Family;Health
